tvg-id,group
INWILD.nl@SD,
ThePetCollective.us@India,
Teletubbies.uk@SD,
TomAndJerry.do@HD,
MrBeanAnimated.uk@English,
TeenageMutantNinjaTurtles.de@IT,
TotallyTurtles.de@DACH,
SuperSpongeBob.us@Italy,
OnePiece.us@US,
WOWKidz.in@Hindi,
AnimaxAsia.sg@India,
ZBCartoon.in@HD,
UniqueTV.in@SD,
BabyFirst.us@US,
BabySharkTV.us@SD,
ducktv.sk@SD,
DumDum.br@SD,
Minimax.hu@SD,
MinimaxCEE.cz@SD,
InWonder.nl@SD,
Travelxp.in@HD,
ChinaTravel.cn@SD,
LoveThePlanet.es@EN,
DisneyChannel.us@East,
DisneyChannel.us@West,
DisneyXD.us@East,
DisneyXD.us@West,
DrakeJosh.de@DACH,
Nickelodeon.ru@SD,
Nickelodeon.uk@SD,
Nickelodeon.us@East,
NickelodeonAsia.sg@SD,
Nicktoons.us@East,
Nicktoons.us@West,
